School Name,Address,Monthly Fees,Classes,Board,Link
Orchids The International School,"Koradi Road, Nagpur",5.7K,Nursery - Class 10,CBSE,https://www.uniapply.com/school/orchids-the-international-school-koradi-road-nagpur/
ORCHIDS The International School,"Besa Road, Nagpur",6.7K,Nursery - Class 7,CBSE,https://www.uniapply.com/school/orchids-the-international-school-besa-road-nagpur/
Mount Litera Zee School,Nagpur,7.8K,Play Group - Class 12,CBSE,https://www.uniapply.com/school/mount-litera-zee-school-bhilgaon-kamptee-road-nagpur/
Sevasadan Saksham School,"Sitabuldi, Nagpur",5.2K,Class 1 - Class 10,CBSE,https://www.uniapply.com/school/sevasadan-saksham-school-sitabuldi-nagpur/
Sri Guru Harkrishan Public School,"Bezon Bagh, Nagpur",1.9K,Nursery - Class 10,CBSE,https://www.uniapply.com/school/sri-guru-harkrishan-public-school-bezon-bagh-nagpur/
Kurveys New Model Public School,"Shradhanand peth, Nagpur",1.8K,Class 1 - Class 10,CBSE,https://www.uniapply.com/school/kurveys-new-model-public-school-shradhanand-peth-nagpur/
Priyadarshini Nagpur Public School,"Bagadganj, Nagpur",3.8K,Nursery - Class 10,CBSE,https://www.uniapply.com/school/priyadarshini-nagpur-public-school-bagadganj-nagpur/
St. Xavier's High School,"Hiwri Nagar, Nagpur",3.6K,Nursery - Class 12,CBSE,https://www.uniapply.com/school/st-xaviers-high-school-hiwri-nagar-nagpur/
Kids World School,"Anant Nagar, Nagpur",3.5K,Nursery - Class 10,CBSE,https://www.uniapply.com/school/kids-world-school-anant-nagar-nagpur/
The Swaminarayan School,"East Wardhaman Nagar, Nagpur",4.4K,Class 1 - Class 10,CBSE,https://www.uniapply.com/school/the-swaminarayan-school-east-wardhaman-nagar-nagpur/
Podar International School,"Binaki, Nagpur",4.5K,Nursery - Class 10,CBSE,https://www.uniapply.com/school/podar-international-school-binaki-nagpur/
St Vincent Pallotti School,"Pallotti Nagar, Nagpur",3.7K,Nursery - Class 12,CBSE,https://www.uniapply.com/school/st-vincent-pallotti-school-pallotti-nagar-nagpur/
Jagat Public School,"Dighori, Nagpur",2.4K,Nursery - Class 10,CBSE,https://www.uniapply.com/school/jagat-public-school-dighori-nagpur/
East Point School,"Kharbi, Nagpur",1.5K,Nursery - Class 10,CBSE,https://www.uniapply.com/school/east-point-school-kharbi-nagpur/
Modern School,"Vidya Nagar, Nagpur",5.7K,Class 1 - Class 12,CBSE,https://www.uniapply.com/school/modern-school-vidya-nagar-nagpur/
Podar International School,"Welahari, Nagpur",6.8K,Class 1 - Class 12,CBSE,https://www.uniapply.com/school/podar-international-school-welahari-nagpur/
Blossom School,Nagpur,2.4K,Nursery - Class 10,CBSE,https://www.uniapply.com/school/blossom-school-nagpur/
Blossoms School,"Bharatwada, Nagpur",2.5K,Nursery - Class 12,CBSE,https://www.uniapply.com/school/blossoms-school-bharatwada-nagpur/
Edify School,"Mouza Khairi, Nagpur",2.7K,Nursery - Class 10,CBSE,https://www.uniapply.com/school/edify-school-mouza-khairi-nagpur/
Indian Olympiad School,"Bhilgaon, Nagpur",2.6K,Pre-Nursery - Class 10,CBSE,https://www.uniapply.com/school/indian-olympiad-school-bhilgaon-nagpur/
